RELATIVE_PATH,ABSOLUTE_PATH,FILE_SIZE,EXTENSION,MIME_TYPE,ENCODING,SHA256,MODIFIED_TIME,SYMLINK_STATUS
QA Execution Unit_v4.md,/home/xxammaxx/Dokumente/Promps/QA Execution Unit_v4.md,38870,.md,text/markdown,utf-8,e6b65645365a0e73533c1ff887e4e95b7e30adff43111f6d1fb0f0bfcdbf580f,1775683188.0,REGULAR
Marktanalyse Deutschland 2026_ Die 5 Millionen-Euro-Schmerzfelder_gemini.md,/home/xxammaxx/Dokumente/Promps/Marktanalyse Deutschland 2026_ Die 5 Millionen-Euro-Schmerzfelder_gemini.md,11320,.md,text/markdown,utf-8,a7c9e530760f46e0fb7bee8850356fac034361ae84ec83b4dbd2f8ecd76f60e9,1775210562.0,REGULAR
blueprint_verbessern.md,/home/xxammaxx/Dokumente/Promps/blueprint_verbessern.md,4245,.md,text/markdown,utf-8,57cd1600d7ae4e3a6fde659b4bb66c7dc42145037f0fc751cdb8852f7b40cb58,1775198158.0,REGULAR
"Architekturparadigmen f__r autonome, selbstreparierende Systeme_ Integration von Flutter-Frontends und Rust-Backends.md","/home/xxammaxx/Dokumente/Promps/Architekturparadigmen f__r autonome, selbstreparierende Systeme_ Integration von Flutter-Frontends und Rust-Backends.md",3495,.md,text/markdown,utf-8,be49bc131b53ae9835d31819e4eeaba742c64db3eddcff82d3361dea8e940d6c,1775482948.0,REGULAR
QA Execution Unit_v2.md,/home/xxammaxx/Dokumente/Promps/QA Execution Unit_v2.md,38305,.md,text/markdown,utf-8,bd223fd69763335808088a267b371d57f9e5ae353af5db4b95f623c6fe2ef8c4,1775680968.0,REGULAR
Bauen/Vollständig headless Repair-Loop.md,/home/xxammaxx/Dokumente/Promps/Bauen/Vollständig headless Repair-Loop.md,5081,.md,text/markdown,utf-8,e891507c1ee90abe38f7316be41a74b12e940c60ea814d89bc55640b8ad2caab,1775403288.0,REGULAR
Bauen/Spec-Driven Enterprise Delivery & QA Unit.md,/home/xxammaxx/Dokumente/Promps/Bauen/Spec-Driven Enterprise Delivery & QA Unit.md,6558,.md,text/markdown,utf-8,3ea6b3cb362af781e5dd2de107e2feef1ae5c5ebbed1376302ca1d2ac884604d,1775660566.0,REGULAR
Bauen/gesamten Flutter-Quellcode auf testfreundliche E2E-KI-Automatisierung umzubauen.md,/home/xxammaxx/Dokumente/Promps/Bauen/gesamten Flutter-Quellcode auf testfreundliche E2E-KI-Automatisierung umzubauen.md,7587,.md,text/markdown,utf-8,5c478a2ef02971f4dd03820baace942da89210d4ee6c8469c61ed6c23ced47fc,1775377366.0,REGULAR
Bauen/Der „Exit-Oriented Vibe Coding“ Master-Prompt.md,/home/xxammaxx/Dokumente/Promps/Bauen/Der „Exit-Oriented Vibe Coding“ Master-Prompt.md,1,.md,text/markdown,utf-8,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1775210004.0,REGULAR
Bauen/Patrol CLI für Flutter-Android-Tests.md,/home/xxammaxx/Dokumente/Promps/Bauen/Patrol CLI für Flutter-Android-Tests.md,40456,.md,text/markdown,utf-8,64d31109c5b3fad93571f4212cec68afe250d67602ce4a7b9a0d956407ac685f,1775297456.0,REGULAR
Bauen/Prompt für KI-gestützte Flutter Debug-Implementation.md,/home/xxammaxx/Dokumente/Promps/Bauen/Prompt für KI-gestützte Flutter Debug-Implementation.md,2035,.md,text/markdown,utf-8,7f66aa0bfa570ab0952ad089c602bbc71a21f5f4b0aee48e3ba18bf780004dbb,1775385742.0,REGULAR
Bauen/____ E2E Physical Test Strategy_-MietVisor.md,/home/xxammaxx/Dokumente/Promps/Bauen/____ E2E Physical Test Strategy_-MietVisor.md,4213,.md,text/markdown,utf-8,4a5be475d175e1fe357f9272e4c594e867b06c531264f255f83d7af01bc9c288,1775214350.0,REGULAR
Bauen/Der „Vibe Coding & Dev-Ready“ Master-Prompt.md,/home/xxammaxx/Dokumente/Promps/Bauen/Der „Vibe Coding & Dev-Ready“ Master-Prompt.md,1516,.md,text/markdown,utf-8,a1a954ee99e0d178dab97a55a7d6d447a78ea32e3c8e34f71763fb2782075207,1775209522.0,REGULAR
Bauen/Umfassender Forschungsbericht zur Automatisierung von End-to-End (E2E) Tests in Flutter-Anwendungen.md,/home/xxammaxx/Dokumente/Promps/Bauen/Umfassender Forschungsbericht zur Automatisierung von End-to-End (E2E) Tests in Flutter-Anwendungen.md,42313,.md,text/markdown,utf-8,ee839ebaf9e6d99bff77689360834f19a3761dd9f5a0501658d958c95763b5a7,1775482258.0,REGULAR
blueprints/02-nis2-audit-node/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/02-nis2-audit-node/blueprint.md,2450,.md,text/markdown,utf-8,da2ccffa58fa787daca8e925368d17916852cbc2cb2dafacda6b45d469da1257,1776147298.0,REGULAR
blueprints/15-sgb-xii-vault/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/15-sgb-xii-vault/blueprint.md,2701,.md,text/markdown,utf-8,81266ede30f6268291903e52cad3c347bb3acbb8f5aea7f9af5d22bf185f4a80,1776147612.0,REGULAR
blueprints/18-budget-router-sgb/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/18-budget-router-sgb/blueprint.md,1877,.md,text/markdown,utf-8,8db06abbb2b0136e1147f78f77198018d9255588acd3177a73d8cb83fbfe4689,1776147694.0,REGULAR
blueprints/11-sgb-xi-appeal-core/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/11-sgb-xi-appeal-core/blueprint.md,2715,.md,text/markdown,utf-8,738b51c94f78b54521732f2643c2aa8df25b939252740ab7d927d43e79c78349,1776147478.0,REGULAR
blueprints/17-timeline-defender/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/17-timeline-defender/blueprint.md,1941,.md,text/markdown,utf-8,b0d61e0a7d3c83c4e14af2818001532f6a2a1c272f76859e744c74ccf1c70471,1776147694.0,REGULAR
blueprints/03-voice-to-med-sdk/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/03-voice-to-med-sdk/blueprint.md,2530,.md,text/markdown,utf-8,fd63a073527bf12cadd2fe45ed7b78d4a5b842b4b0b97f829bf8dfd9eec36941,1776147306.0,REGULAR
blueprints/08-graph-scout-osint/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/08-graph-scout-osint/blueprint.md,2811,.md,text/markdown,utf-8,30246d264a0f61aee664b0a16bb43b7db3f4d35a5e13911d9c09060c692ac725,1776147428.0,REGULAR
blueprints/04-zugferd-parser-x/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/04-zugferd-parser-x/blueprint.md,2374,.md,text/markdown,utf-8,d47171b60f5c7253fd4989c1f88280bf99b61fca5399f4867fa2ab2b2d62b3f7,1776147314.0,REGULAR
blueprints/12-sgb-ii-lead-gen/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/12-sgb-ii-lead-gen/blueprint.md,2670,.md,text/markdown,utf-8,d09703da7772cdf6e8c3a73e50534009ee1a979b9d0a00cdd84663b5330c0b64,1776147478.0,REGULAR
blueprints/13-sgb-v-pdf-engine/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/13-sgb-v-pdf-engine/blueprint.md,2805,.md,text/markdown,utf-8,747accef909db72692c0accd951edc750e33b02955a840646eaa4fd70e8c7c7e,1776147612.0,REGULAR
blueprints/07-spatial-craft-ar/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/07-spatial-craft-ar/blueprint.md,2767,.md,text/markdown,utf-8,21f742b7d71286c6aa85ef0622669ace9a88434303714ea4ef7f7e2e9dc8ac5a,1776147428.0,REGULAR
blueprints/20-geo-kita-engine/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/20-geo-kita-engine/blueprint.md,1962,.md,text/markdown,utf-8,70f2d0246b289a4d51b77fe28d3eacfeb27fe643742e8c7b381874ae58d079f0,1776147694.0,REGULAR
blueprints/06-eidas-b2b-vault/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/06-eidas-b2b-vault/blueprint.md,2562,.md,text/markdown,utf-8,2050c4e8923a6973aced0333a21def53074fcddfd5741e2370910d7d94df839c,1776147328.0,REGULAR
blueprints/14-gdb-graph-logic/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/14-gdb-graph-logic/blueprint.md,2740,.md,text/markdown,utf-8,3dfed29abad93ec85934ccff03f11b5a6d20092c83647e70fd193f921db85bfa,1776147612.0,REGULAR
blueprints/09-tender-rag-local/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/09-tender-rag-local/blueprint.md,2782,.md,text/markdown,utf-8,d1d402e2cf71df03bd1949dfe3a107cd714700c73b8f3befb068942aa430e0dc,1776147478.0,REGULAR
blueprints/01-esg-core-engine/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/01-esg-core-engine/blueprint.md,2465,.md,text/markdown,utf-8,abb477470e55259947660c55770aac193a06e2ec2d4aad3fc8d76161fb0a61f4,1776147292.0,REGULAR
blueprints/10-haccp-sync-core/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/10-haccp-sync-core/blueprint.md,2788,.md,text/markdown,utf-8,f0d57d5234a24dbc365a24492417236b22977ad8ab0800c273ebd0719876eed4,1776147478.0,REGULAR
blueprints/19-sgb-iii-ruleset/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/19-sgb-iii-ruleset/blueprint.md,2009,.md,text/markdown,utf-8,7ffb9e00a81ab01021ef5bbb038744a2a0dea38e651eb413eac9afb77d3c92c7,1776147694.0,REGULAR
blueprints/16-em-triage-ai/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/16-em-triage-ai/blueprint.md,2832,.md,text/markdown,utf-8,1d6b67804bbce17c69ee21cf0d8474813a0a35f87d1eff06852306ddc83aa21b,1776147612.0,REGULAR
blueprints/05-grid-balancer-api/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints/05-grid-balancer-api/blueprint.md,2395,.md,text/markdown,utf-8,6655d52b81f0a6587643e673217de0f6734b1133464dff9bf45abcb1a99ae07a,1776147320.0,REGULAR
APP Blueprint/sozdoku-pro-blueprint.md,/home/xxammaxx/Dokumente/Promps/APP Blueprint/sozdoku-pro-blueprint.md,19964,.md,text/markdown,utf-8,5a45abd1b22dbab8530dca3934c3c94b7ad44f5dd8676d7d025548c8eed8a794,1775217320.0,REGULAR
APP Blueprint/pflege-waechter-blueprint.md,/home/xxammaxx/Dokumente/Promps/APP Blueprint/pflege-waechter-blueprint.md,17399,.md,text/markdown,utf-8,3f86607af815b88cebae72dc7e7e2a89f1f0d5efb71516054d7b51813c8fc0ad,1775216910.0,REGULAR
APP Blueprint/Formora.md,/home/xxammaxx/Dokumente/Promps/APP Blueprint/Formora.md,9116,.md,text/markdown,utf-8,b7913aceb94d960057a302807f8a19ab60ad8546cfdd2d12ba7e093d474e3305,1775212262.0,REGULAR
APP Blueprint/bescheid-buster-blueprint.md,/home/xxammaxx/Dokumente/Promps/APP Blueprint/bescheid-buster-blueprint.md,18352,.md,text/markdown,utf-8,0f9e3eaa6f7311b7a1cbd335e7a037f4a5616813061aae652e6c12d2fbd9eed3,1775217014.0,REGULAR
APP Blueprint/gdb-kombi-blueprint.md,/home/xxammaxx/Dokumente/Promps/APP Blueprint/gdb-kombi-blueprint.md,18946,.md,text/markdown,utf-8,27c565b3bc568fd527de5abb500e08e96956552ebbd82e1d43d83bdea3b20731,1775217220.0,REGULAR
APP Blueprint/Die 5 SGB-Legal-Tech-Assets.md,/home/xxammaxx/Dokumente/Promps/APP Blueprint/Die 5 SGB-Legal-Tech-Assets.md,8213,.md,text/markdown,utf-8,6760857c6a87cda3f09ec838839f5a92ede813af51586dbd93f61b81f00790c9,1775215322.0,REGULAR
APP Blueprint/reha-recht-ai-blueprint.md,/home/xxammaxx/Dokumente/Promps/APP Blueprint/reha-recht-ai-blueprint.md,17919,.md,text/markdown,utf-8,1676575cf0f581b4d0bf72861680c0ef2059d581ecf6381d9fb481d9d00c7686,1775217110.0,REGULAR
blueprint3/blueprint-template.md,/home/xxammaxx/Dokumente/Promps/blueprint3/blueprint-template.md,15457,.md,text/markdown,utf-8,f8d690c5b344219ece0104259b1b3f07d6926a54ab42c6a4cb682d98fb4b2877,1776082096.0,REGULAR
blueprint3/app_ideen2.md,/home/xxammaxx/Dokumente/Promps/blueprint3/app_ideen2.md,141339,.md,text/markdown,utf-8,733f6a434231b8f6ae9359e00d635849aa7042628348dc18d7c99f68beae5ae8,1775687382.0,REGULAR
blueprint3/34_gobd_kernel_flutter/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/34_gobd_kernel_flutter/blueprint.md,3118,.md,text/markdown,utf-8,f6d7358736b3ce5ce64c0c3838c30458fcf56f59915ada28d6e41d853b6d267d,1776146992.0,REGULAR
blueprint3/31_compliance_core_rs/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/31_compliance_core_rs/blueprint.md,3040,.md,text/markdown,utf-8,7618bea30ee363470c1e1f440c07b2eafa757ab2c0a13098b65c0d7cf3d58d55,1776146928.0,REGULAR
blueprint3/28_steuer_vorlage/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/28_steuer_vorlage/blueprint.md,2300,.md,text/markdown,utf-8,3f8dc79dbb2383f45aab00249ef003be30cc6c5d31b261d61b5d8d6fc0de2fdc,1776146438.0,REGULAR
blueprint3/23_gefaehrdungs_atlas/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/23_gefaehrdungs_atlas/blueprint.md,2163,.md,text/markdown,utf-8,60d966256f84320dbb10396366915b93d761762dfa916b5cff01c894df149f6d,1776146252.0,REGULAR
blueprint3/25_anerkennungs_manager/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/25_anerkennungs_manager/blueprint.md,2465,.md,text/markdown,utf-8,40d121bb93b009deb642f6fa4797bd04438db25f61e57552ccccba8a05baeb23,1776146286.0,REGULAR
blueprint3/24_lohn_nachweis/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/24_lohn_nachweis/blueprint.md,2310,.md,text/markdown,utf-8,6406ac62b3fd10f9cf24635e5b2f6702d3b98a0b029de66ed816d4ced71b2f9f,1776146268.0,REGULAR
blueprint3/32_nis2_desk/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/32_nis2_desk/blueprint.md,3229,.md,text/markdown,utf-8,98caf87ea455f88f3d6a4e45cf3e972619d7dd61fd9ee56820518e065030fb1e,1776146944.0,REGULAR
blueprint3/27_kasko_meldung/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/27_kasko_meldung/blueprint.md,2418,.md,text/markdown,utf-8,0651f75df7644da295397ae88c02c4d5a5b5843496b59a616c6e091fe10fff85,1776146386.0,REGULAR
blueprint3/26_energie_pflicht/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/26_energie_pflicht/blueprint.md,2291,.md,text/markdown,utf-8,543d568a1a0167af3c9dc6b083131fdaa9fc75d43c8e400cf6b99bda6a1b28c3,1776146370.0,REGULAR
blueprint3/35_nis2_self_check/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/35_nis2_self_check/blueprint.md,3024,.md,text/markdown,utf-8,ce998692a364f38477dbcab63a9cd77c0ee9a88fb383fc986def950b1936f8f1,1776147022.0,REGULAR
blueprint3/37_mastr_bridge/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/37_mastr_bridge/blueprint.md,3098,.md,text/markdown,utf-8,d6507db7e5469a0748c81fa5f8c0bf32b0d757be54fae81664f7294c83caaf5f,1776147092.0,REGULAR
blueprint3/33_esrs_xbrl_app/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/33_esrs_xbrl_app/blueprint.md,3108,.md,text/markdown,utf-8,6b3976fd0468ee6c27cff4f684a660a0cd462d02aa624d612e81064141d9d5d5,1776146972.0,REGULAR
blueprint3/21_ai_competence_log/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/21_ai_competence_log/blueprint.md,2125,.md,text/markdown,utf-8,51f5d812e8ffcc42b182da2887f0b5a76e7850853faa334a3151ee1619aea818,1776146224.0,REGULAR
blueprint3/22_gwg_comply/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/22_gwg_comply/blueprint.md,2274,.md,text/markdown,utf-8,588cba29c26d3d2f64eda020d494eb7aa4740983ee6322d7cb6427be95f1d708,1776146236.0,REGULAR
blueprint3/29_pflege_abrechnung/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/29_pflege_abrechnung/blueprint.md,2532,.md,text/markdown,utf-8,2c6946e01843c55219f9d168d12e8de82ffc6349a08ebd1d07956a685ee256c1,1776146472.0,REGULAR
blueprint3/30_foerdermittel_log/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/30_foerdermittel_log/blueprint.md,3015,.md,text/markdown,utf-8,64139e982feb02275dbacfa85e3cdf58912b929a71fe217ca88af09b7d4e7d70,1776146910.0,REGULAR
blueprint3/36_ki_vo_auditor/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprint3/36_ki_vo_auditor/blueprint.md,19804,.md,text/markdown,utf-8,eece8f37dffd875cc5f59a9a9fcfbcdfc96b9aea9e6f91cec291f19e3f730d07,1776092138.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/10 Exit-Fähige Mobile-Game-Konzepte.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/10 Exit-Fähige Mobile-Game-Konzepte.md,69475,.md,text/markdown,utf-8,18286e5f8d4b93ae2043404f703d5ad4c1edd00bfbb2f74cf21d6ec3d70d1f05,1776952688.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/positron-blueprint-template.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/positron-blueprint-template.md,866,.md,text/markdown,utf-8,fc4e1f7aee6f8a9667cff3c8e03238d311f2235b0106c13e97c536b443bf1ae3,1776144870.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/SynapseRush/blueprint.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/SynapseRush/blueprint.md,3923,.md,text/markdown,utf-8,35f56004f22f3397224ab4d24c8a2e6cbaa032d1adbb2b5109b731077dd3761e,1776955024.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/TileShift/blueprint.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/TileShift/blueprint.md,3963,.md,text/markdown,utf-8,865020bea98cef37a9266cb05f28942dde63616ea0199f305ad66ed7e106f1fe,1776955080.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/EmpireIdle/blueprint.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/EmpireIdle/blueprint.md,4034,.md,text/markdown,utf-8,e20df80a731cce3ebd3a580abb61339b7860928e06cd45003297a3da2c95ec68,1776954992.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/ColonyOS/blueprint.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/ColonyOS/blueprint.md,4422,.md,text/markdown,utf-8,aab8b23f310b2f43263e8b02e9449eff13536e172a1ba33f53e760c1a7ca5f12,1776955114.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/EchoMemory/blueprint.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/EchoMemory/blueprint.md,4436,.md,text/markdown,utf-8,f03342516529ae20816c83b8308e1cb193b2570a801c4e719f6a8e63367e672d,1776955164.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/ArcadeKitchen/blueprint.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/ArcadeKitchen/blueprint.md,4124,.md,text/markdown,utf-8,1c0d78a4b198ffe8264afd7149de5bcf0401c5ea7fb855666c888e44b22d2ed1,1776955134.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/FlowCut/blueprint.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/FlowCut/blueprint.md,4119,.md,text/markdown,utf-8,07a59e90e76ea43c20ac0d90c03edf54bd7f70d9d55768e2e62cc32957186503,1776954952.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/ChronoForge/blueprint.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/ChronoForge/blueprint.md,4126,.md,text/markdown,utf-8,3b2a0c4b42d485a4f0f540af822ce95340eec2e8f0b47c75b77acdff9eddd59d,1776955038.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/BudgetCity/blueprint.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/BudgetCity/blueprint.md,4325,.md,text/markdown,utf-8,d0d2d43ed7661391a45bc8c90c2ace56d7e198cdcd3c4fa9bc8916d9e6d7f6af,1776955154.0,REGULAR
10 Exit-Fähige Mobile-Game-Konzepte/WillowPath/blueprint.md,/home/xxammaxx/Dokumente/Promps/10 Exit-Fähige Mobile-Game-Konzepte/WillowPath/blueprint.md,4078,.md,text/markdown,utf-8,b3714b020a12ad1a3f3e955b0f4d5b7fd9d4c19032694695106324e144eed337,1776955050.0,REGULAR
blueprints2/app_ideen.md,/home/xxammaxx/Dokumente/Promps/blueprints2/app_ideen.md,116831,.md,text/markdown,utf-8,543551644a3a167e03b3a777a20ca46ffee3e7c1de44c0fd97ee2893d7860467,1775658296.0,REGULAR
blueprints2/18_MietCompliance/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints2/18_MietCompliance/blueprint.md,3288,.md,text/markdown,utf-8,80836a1286bbd1827e03a30448d8279fe4a368086adb8a9d7e8936baf7f3b8b9,1776148140.0,REGULAR
blueprints2/02_PflegeDok+/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints2/02_PflegeDok+/blueprint.md,2129,.md,text/markdown,utf-8,d8724f1146597f53dcec12c98ba53a1764314b3189214fe562374edbc7337ccb,1776147782.0,REGULAR
blueprints2/05_EnergyCert/blueprint.md,/home/xxammaxx/Dokumente/Promps/blueprints2/05_EnergyCert/blueprint.md,2085,.md,text/markdown,utf-8,9dadb748f4533a6507302441e746a034190269eae3347cfa44433197efc58a99,1776147782.0,REGULAR
